name,setTime,star,content
Yinying Wu,3 小時前,5,科技感十足的溫馨勵志故事 優👍 …
Shunkai Yang,3 小時前,5,很推薦，要帶小孩一起玩
HSU Acctom,2 天前,5,蕭老師教茶藝和煮水果茶，很好的體驗，建議可以參加
Lucia,3 天前,5,很特別，還有互動的星空的遊戲
Sherry Lin,3 天前,5,超讚，上來一定要帶孩子來看看，這裡部分白天夜晚
Addison Huang,3 天前,5,好玩又好看
琪琪琪,3 天前,5,非常漂亮的星空
張智凱,3 天前,5,
Li Winnie,1 週前,5,
徐詠貞,1 週前,5,很棒的星空體驗😍 …
詹翔文,1 週前,5,
涂雅筑,3 週前,5,離星星最近的距離👍 …
許文瑜,3 週前,5,在2756公尺進行不同的星空體驗呦～服務人員超親切＆專業的
KUANCHAO chen,3 週前,2,"一人350元一小時的導覽，櫃檯人員說有戶外跟天文台望遠鏡的賞星活動，結果大部分的時間都在聽簡報。
當天天氣霧是比較多，但沒有補償方案，老實說蠻失望的，還要我們最後自己麻煩老師，趁霧散去時用天文台望遠鏡稍微看一下，結果後面來了兩個沒有買票的顧客，我們聽到櫃檯人員說100元還是50元就讓他們一起用天文台望遠鏡看，然後看得還比我們花350元的還久，我們當下體驗變的更糟了。
我知道老師和櫃檯人員都很辛苦，不知道整體活動的內容設計本來就無聊，還是其他什麼因素？但是讓其他沒買票的人用更便宜的價錢看天文台望遠鏡，這件事真的讓我們耿耿於懷。
如果今天活動內容升級，價格提高也沒關係，最重要的是，活動的詳細內容和文宣要白紙黑字作好，並然靠櫃檯人員說明真的有限，畢竟每天活動內容隨星象都有可能不一樣，櫃檯人員就會有資訊落差。"
許靖雅,4 週前,5,
杜金定,4 週前,5,超棒
CHIACHENG HSU,4 週前,5,
打的鐵,4 週前,5,超棒
陳小賢,4 週前,5,專業的穹頂星空劇場，很棒的互動體驗👍🏻 …
黃于馨,4 週前,5,
楊嘉明,4 週前,5,
蔡緯齡,4 週前,5,
楊凱,4 週前,5,
小白兔Janet,4 週前,5,很🤍酷耶👍💥💯🥳 …
林大樹,4 週前,5,💯超讚✨👍👍 …
北一-雲杉,4 週前,5,很棒的體驗，有機會要來
Haster Su,4 週前,5,
seeker Liou,1 個月前,4,
