setTime,star,content,ckip_result,seg_result
21 小時前,4,"來內洞森林遊樂區瀑布要大口深呼吸有負離子森林浴芬多精門票新北市40外縣市80假日
還有自動販賣機買門票",['內洞(Nc) 森林(Na) 遊樂區(Nc) 瀑布(Na) 深呼吸(VA) 負離子(Na) 森林(Na) 芬多精(Na) 門票(Na) 北市(Nc) 40(Neu) 外縣市(Nc) 80(Neu) 假日(Nd) 自動(VH) 販賣機(Na) 門票(Na)'],內洞 森林 遊樂區 瀑布 深呼吸 負離子 森林 芬多精 門票 北市 40 外縣市 80 假日 自動 販賣機 門票
22 小時前,5,,,
1 天前,5,老少咸宜的地方北台灣負離子冠軍身心放鬆的景點,['老少咸宜(VH) 地方(Na) 台灣(Nc) 負離子(Na) 冠軍(Na) 身心(Na) 放鬆(VHC) 景點(Na)'],老少咸宜 地方 台灣 負離子 冠軍 身心 放鬆 景點
2 天前,5,,,
4 天前,4,,,
4 天前,5,,,
6 天前,5,,,
6 天前,5,路線好走沿路都有涼亭和洗手間習習涼風超讚還可以補充熱水唯一缺點就是帶寵物進去的人都沒有繫繩,['路線(Na) 涼亭(Na) 洗手間(Nc) 習習(VC) 涼風(Na) 超讚(VH) 補充(VC) 熱水(Na) 缺點(Na) 寵物(Na) 進去(VA)'],路線 涼亭 洗手間 習習 涼風 超讚 補充 熱水 缺點 寵物 進去
6 天前,5,空氣非常棒芬多精非常多 ,['空氣(Na) 棒芬多精(VH)'],空氣 棒芬多精
1 週前,5,新北市民半價,['新北市民(VH) 半價(Na)'],新北市民 半價
1 週前,1,景點計程車收費很奇怪,['景點(Na) 計程車(Na) 收費(VD) 奇怪(VH)'],景點 計程車 收費 奇怪
1 週前,4,不錯的步行和可愛的瀑布那裡交通便利週日愉快,['不錯(VH) 步行(VA) 可愛(VH) 瀑布(Na) 那裡(Ncd) 交通(Na) 便利(VL) 週日(Nd) 愉快(VH)'],不錯 步行 可愛 瀑布 那裡 交通 便利 週日 愉快
1 週前,4,散步好地方,['散步(VA) 地方(Na)'],散步 地方
1 週前,4,享受森林芬多精和瀑布下滿滿的負離子,['享受(VJ) 森林(Na) 芬多精(Na) 瀑布(Na) 滿滿(VH) 負離子(Na)'],享受 森林 芬多精 瀑布 滿滿 負離子
1 週前,4,,,
1 週前,5,,,
1 週前,5,散步還好來回一個半小時左右打車游上去也不錯打車價格好像是固定的我們上去付了500台幣來的時候付了450台幣向下,['散步(VA) 來回(VCL) 小時(Na) 左右(Ng) 打車(VC) 游上去(VA) 不錯(VH) 打車(VA) 價格(Na) 固定(VH) 上去(VA) 500(Neu) 台幣(Na) 時候(Na) 450(Neu) 台幣(Na)'],散步 來回 小時 左右 打車 游上去 不錯 打車 價格 固定 上去 500 台幣 時候 450 台幣
1 週前,5,吸收負離子的好地方,['吸收(VC) 負離子(Na) 地方(Na)'],吸收 負離子 地方
1 週前,5,,,
1 週前,4,自在隨性徜徉大自然,['自在(VH) 隨性(VH) 徜徉(VA) 大自然(Nc)'],自在 隨性 徜徉 大自然
1 週前,5,,,
1 週前,4,,,
1 週前,5,"一小時即可輕鬆走完的步道
雙層的壯觀瀑布
綠意盎然的原始林相
潺潺悅耳的溪流聲
滿滿的芬多精與負離子
漫步其中
真是神清氣爽最舒壓的享受",['小時(Na) 輕鬆(VH) 走完(VCL) 步道(Na) 壯觀(VH) 瀑布(Na) 綠意(VH) 盎然(VH) 原始(Na) 林相(Na) 潺潺(VH) 悅耳(VH) 溪流聲(Na) 滿滿(VH) 芬多精(Na) 負離子(Na) 漫步(VA) 神清氣爽(VH) 舒壓(VC) 享受(VJ)'],小時 輕鬆 走完 步道 壯觀 瀑布 綠意 盎然 原始 林相 潺潺 悅耳 溪流聲 滿滿 芬多精 負離子 漫步 神清氣爽 舒壓 享受
1 週前,5,提供寵物晶片證明及狂犬病疫苗注射證明毛小孩就可以進入園區,['提供(VD) 寵物(Na) 晶片(Na) 證明(Na) 狂犬病(Na) 疫苗(Na) 注射(VC) 證明(Na) 小孩(Na) 進入(VCL) 園區(Nc)'],提供 寵物 晶片 證明 狂犬病 疫苗 注射 證明 小孩 進入 園區
2 週前,4,,,
2 週前,5,,,
2 週前,5,,,
2 週前,5,,,
2 週前,5,老少咸宜的活動地點空氣品質良好前段山路平緩好走適合三四代同遊,['老少咸宜(VH) 活動(Na) 地點(Na) 空氣(Na) 品質(Na) 良好(VH) 前段(Nes) 山路(Na) 平緩(VH) 適合(VH) 三四(Neu)'],老少咸宜 活動 地點 空氣 品質 良好 前段 山路 平緩 適合 三四
2 週前,5,,,
2 週前,5,湖泊湛藍蓊鬱青蔥飛流直下負離子瀑布充沛精神氣爽神采飛揚.,['湖泊(Na) 湛藍(VH) 蓊鬱(VH) 青蔥(VH) 飛流直下(VA) 負離子(Na) 瀑布(Na) 充沛(VH) 精神(Na) 氣爽(VH) 神采飛揚(VH)'],湖泊 湛藍 蓊鬱 青蔥 飛流直下 負離子 瀑布 充沛 精神 氣爽 神采飛揚
2 週前,3,,,
2 週前,5,,,
2 週前,5,入口處有免費停車場供停車 新北市民門票可以有優惠 門票可以網路購買比較便宜 觀瀑步道簡單好走沒負擔 另外兩個都需要登山會比較累人,['入口處(Nc) 免費(VH) 停車場(Nc) 停車(VA) 北市民(Nc) 門票(Na) 優惠(VJ) 門票(Na) 網路(Na) 購買(VC) 便宜(VH) 步道(Na) 簡單(VH) 負擔(VC) 需要(VK) 登山(VA) 累人(VH)'],入口處 免費 停車場 停車 北市民 門票 優惠 門票 網路 購買 便宜 步道 簡單 負擔 需要 登山 累人
2 週前,5,"和家人同遊
初次來到內洞
這個號稱全台
負離子最多的地方 爬郊山
新北市民半價40元1人
可以牽繩帶寵物
欣賞 匯流進南勢溪 的3座瀑布
入口細流型的烏溪沙瀑布
內洞溪較小的下層瀑布
和水流較大 號稱全台最美的
上層瀑布
吸好吸滿
芬多精+負離子

到上層瀑布前的路
都是鋪平寬大的柏油路
很似滿月圓

上層瀑布樂水橋有
碧綠清澈見底的
瀑布會流池裡
清晰可見
腹部閃著銀白的 苦花魚

觀瀑步道 1K+
森林浴步道1.7K+
( 開滿了 抱壁而生
似迷你蘭花的哈哼花)
下坡自賞景步道1.5K
( 下山尾看到
串串飽滿的月桃花苞)

午飯後慢慢散步完
(有75歲4歲小孩腳程大約4hr)
正好可以晚餐吃雞",['家人(Na) 來到(VCL) 內洞(Ncd) 號稱(VG) 負離子(Na) 最多(VH) 地方(Na) 郊山(VCL) 新北(Nc) 市民(Na) 半價(Na) 40(Neu) 牽繩帶(VC) 寵物(Na) 欣賞(VJ) 匯流(VH) 南勢溪(Nc) 瀑布(Na) 入口(Nc) 細流型(Na) 烏溪沙(Nc) 瀑布(Na) 內洞溪(Nc) 瀑布(Na) 水流(Na) 號稱(VG) 瀑布(Na) 吸好(VC) 吸滿(VC) 芬多精(Na) 負離子(Na) 瀑布(Na) 鋪平(VC) 寬大(VH) 柏油路(Na) 月圓(Na) 瀑布(Na) 樂水橋(VCL) 碧綠(VH) 清澈見底(VH) 瀑布(Na) 會流池(Na) 清晰(VH) 腹部(Na) 銀白(Na) 苦花魚(Na) 步道(Na) 森林(Na) 浴步道(VA) 1.7(Neu) 開滿(VH) 抱壁(VC) 迷你(VH) 蘭花(Na) 哈哼花(Na) 下坡(Nes) 賞景(VA) 步道(Na) 1.5(Neu) 山尾(Nc) 看到(VE) 飽滿(VH) 月桃(Na) 花苞(Na) 午飯(Na) 慢慢(VH) 散步(VA) 75(Neu) 小孩(Na) 腳程(Na) 晚餐(Na)'],家人 來到 內洞 號稱 負離子 最多 地方 郊山 新北 市民 半價 40 牽繩帶 寵物 欣賞 匯流 南勢溪 瀑布 入口 細流型 烏溪沙 瀑布 內洞溪 瀑布 水流 號稱 瀑布 吸好 吸滿 芬多精 負離子 瀑布 鋪平 寬大 柏油路 月圓 瀑布 樂水橋 碧綠 清澈見底 瀑布 會流池 清晰 腹部 銀白 苦花魚 步道 森林 浴步道 1.7 開滿 抱壁 迷你 蘭花 哈哼花 下坡 賞景 步道 1.5 山尾 看到 飽滿 月桃 花苞 午飯 慢慢 散步 75 小孩 腳程 晚餐
2 週前,5,,,
2 週前,5,,,
2 週前,5,,,
3 週前,5,,,
3 週前,5,,,
3 週前,5,,,
3 週前,5,,,
3 週前,5,,,
3 週前,4,空氣品質佳環境清潔,['空氣(Na) 品質(Na) 環境(Na) 清潔(VH)'],空氣 品質 環境 清潔
3 週前,4,蠻不錯的散心地方,['不錯(VH) 散心(Nv) 地方(Na)'],不錯 散心 地方
3 週前,5,,,
