setTime,star,content,ckip_result,seg_result
1 個月前,5,,,
1 個月前,4,遊戲的器材很不錯,['遊戲(Na) 器材(Na) 不錯(VH)'],遊戲 器材 不錯
1 個月前,4,,,
2 個月前,5,,,
2 個月前,5,,,
2 個月前,5,很美好逛冬天滿地松果,['美好(VH) 冬天(Nd) 松果(Na)'],美好 冬天 松果
2 個月前,5,,,
3 個月前,5,,,
3 個月前,4,,,
3 個月前,5,這裡是我於民國71年當兵時的駐地防區也就是陸軍146師步五營第二連的一個班進駐當時的連部駐守在半小時步行距離的尚義機場坑口連時值闢建為觀光中山林的初始建設期其出入口的道路水泥工程就由我們舖設因此充滿滿的回憶,['這裡(Ncd) 民國(Nd) 71年(Nd) 當兵(VA) 駐地(Nc) 防區(Nc) 陸軍(Na) 146(Neu) 步五營(Nc) 第二(Neu) 進駐(VCL) 當時(Nd) 駐守(VCL) 小時(Na) 步行(VA) 距離(Na) 尚義(Nc) 機場(Nc) 坑口連(Nc) 時值(Na) 闢建(VG) 觀光(VA) 中山林(Ng) 初始(Na) 建設期(Na) 出入口(Nc) 道路(Na) 水泥(Na) 工程(Na) 舖設(VC) 充滿滿(VJ) 回憶(Na)'],這裡 民國 71年 當兵 駐地 防區 陸軍 146 步五營 第二 進駐 當時 駐守 小時 步行 距離 尚義 機場 坑口連 時值 闢建 觀光 中山林 初始 建設期 出入口 道路 水泥 工程 舖設 充滿滿 回憶
3 個月前,5,,,
3 個月前,3,,,
3 個月前,4,庭園造景古意,['庭園(Na) 造景(Na) 古意(Na)'],庭園 造景 古意
3 個月前,5,裡面的視聽影片很不錯,['裡面(Ncd) 影片(Na) 不錯(VH)'],裡面 影片 不錯
4 個月前,5,,,
4 個月前,4,不錯,['不錯(VH)'],不錯
4 個月前,5,就看景觀,['景觀(Na)'],景觀
4 個月前,5,影片可了解金門地區民俗風情,['影片(Na) 了解(VK) 金門(Nc) 地區(Nc) 民俗(Na) 風情(Na)'],影片 了解 金門 地區 民俗 風情
4 個月前,4,森林步道吸收芬多精看到和藹可親的蔣經國總統以及他的紀念館旁邊還有過去參戰的各種戰車大砲及飛機噢值得去看的,['森林(Na) 步道(Na) 吸收(VC) 芬多精(Na) 看到(VE) 和藹可親(VH) 總統(Na) 紀念館(Nc) 旁邊(Ncd) 過去(Nd) 參戰(VA) 戰車(Na) 大砲(Na) 飛機(Na) 值得(VH)'],森林 步道 吸收 芬多精 看到 和藹可親 總統 紀念館 旁邊 過去 參戰 戰車 大砲 飛機 值得
4 個月前,3,走累了可以休息一下的地點,['走累(VA) 休息(VA) 一下(Nd) 地點(Na)'],走累 休息 一下 地點
4 個月前,5,,,
4 個月前,5,很棒的森林健行金門真的是很有故事的地方,['森林(Na) 健行(VA) 金門(Nc) 故事(Na) 地方(Na)'],森林 健行 金門 故事 地方
5 個月前,5,,,
5 個月前,4,園道值得一遊,['園道(Na) 值得(VH)'],園道 值得
5 個月前,1,,,
5 個月前,4,悠閒無壓力騎自行車經驗,['悠閒(VH) 壓力(Na) 自行車(Na) 經驗(Na)'],悠閒 壓力 自行車 經驗
5 個月前,5,,,
5 個月前,5,"很大
可以騎腳踏車的好地方",['腳踏車(Na) 地方(Na)'],腳踏車 地方
6 個月前,5,,,
