name,setTime,star,content
連庭玉,1 天前,4,門票$100，展覽區域不大，但導覽姐姐介紹得還不錯！門票可全額折抵消費，有穿七天都不會臭的襪子和指無痕等各式商品，支付方式也很多元，甚至可以使用新北幣。
莊瑞秋,1 天前,1,"接近下午二點到達，進門立即收100/人，只是不斷重覆可以抵消費。
DIY另外收費。沒有分場次，收了錢就進去，DIY完全沒講解 ，只是工作人員不斷進出拿線及安裝。交代轉指定數字人就消失了。還要一直去問工作人員。來來回回詢問四次後。就說交給他們就好就結束Diy體驗。整個根本沒任何教育義意。也沒任何襪子的介紹。就裡面賣的東西非常貴襪子和包包。真的很不值的來。過程10分鐘不到。"
edith lee,1 天前,2,
Christy Pu,2 天前,5,DIY 很好玩
Maggie Chen,3 天前,5,寓教於樂~
葉文,3 天前,5,襪子好穿
周雅雪,3 天前,5,導覽姐姐很好仔細介紹👍 …
葉妞妞,3 天前,5,滿滿襪子可以逛還有手作
Stacy Chen,3 天前,5,有趣的DIY😄 …
李阿修,3 天前,5,
李承璋,5 天前,2,
Elsa Hung,6 天前,5,"產品很可愛
課程好玩"
David Lee,1 週前,5,
王維瑄,1 週前,5,可愛襪襪
陳思錡,1 週前,5,襪子很可愛❤️
八乘二紅茶十六,1 週前,5,講解詳細與由來
佳小魚,1 週前,5,"襪子觀光工廠
好多可愛的襪子❤️"
steven c,1 週前,4,很適合帶小朋友去體驗手作充填娃娃跟圍巾
邱雲萱,1 週前,5,"襪子舒服又好穿
導覽詳細解說"
盧魚,1 週前,5,空間小小的但裝潢跟門票質感都很不錯！門票也可以全額折抵消費😉
lu yihfann,1 週前,5,"可以DIY做杯套，可以門票抵消費
還有襪子知識可以學習
一定要來逛逛喔"
詹育晏,1 週前,5,DIY挑選襪子
Kiki Peng,1 週前,4,"第一次來這，是因為女兒幼稚園同學家長邀約。
首先進場不論是否要做DIY就要先收門票🎫啦！未滿100公分不收費，其餘通通100元。所以我跟女兒就花$200入場，然後要玩diy選擇娃娃在噴450元。
手作開始大夥們進手搖織襪區（ㄧ人一台）
工作人員也開始講解，今日假日滿堂，現場也有做其他款的人在，所以工作人員在說明上就會有所不同，差別在於線要換顏色跟要轉幾圈還有沙包掛在織出的襪上要幾個（平均重量垂掛）等等
工作人員一步步引導親子使用織襪機，只要細心加上努力的搖阿搖，不用半小時就可以織出一塊布囉！（手真的會酸，因為不能搖太慢，太快）
我用錄影方式紀錄時，女兒自己搖她還在那邊呼喊著媽媽妳快點回來啦！🤣🤣很緊張會做壞。
最後完成在脫線搖下來教給工作人員，就會幫我們處理（女兒選兔子，所以耳朵就是由工作人員完成在給我們）接著就是把棉花用蓬鬆在塞進去，最後把表情黏上去，底部在縫起來就完成囉！
不得不說，這高級棉摸起來還真舒服呢！然後女兒也超愛，很有成就感，因為是她搖出來跟塞棉花及貼表情。雖然我個人比較想做那橘色蝦子😝或是藍色恐龍，但女兒就是選白色兔子啦！👌

🔥吳福洋襪子故事館/觀光工廠介紹
《Wu Fu Yang 吳福洋襪子故事館》位在林口工業區，是間迷你的觀光工廠 主要可分為 :
襪子知識區(歷史/生產線/實驗區)   襪子商品區   還有DIY區 (1/2樓都有教室)
主要參觀動線都在一樓, 入場票價一百元可抵商品消費。
門票🎫200元我們沒買襪子，因為販賣區的襪子價位太高，最後女兒選了個太陽眼鏡🕶️190元在挑了個餅乾50元，最後在補40元，來這襪子館買了完全不相關的商品也是厲害，哈哈😆
離開時才知道吳福洋襪子故事館 門口那可愛的吉祥物竟然是-》白色棉花寶寶""福寶""啦！
我還想說那坨是啥？原來蓋紀念章在門票上也有這圖案，是棉花，呵呵！"
古小蕙,2 週前,5,有手作襪子玩偶，讓小孩體驗手作的樂趣，服務人員很親切，希望手作玩偶價錢可以更親民一點👍👍
Fonggo Hu,2 週前,5,DIY活動很有趣，很適合帶小朋友來參加活動！
黃嵐婷,2 週前,5,襪子diy很好玩
Nga Wai Ming,2 週前,5,
李采虹,2 週前,5,狂買襪子💕
李鈴慧,2 週前,5,品質不錯！
flyagela Tsai,3 週前,4,"容易抵達，停車方便。可以先預約，也可以直接到館區，工作人員挺親切的，也會提醒可以聽導覽。
入門票不分大人小孩都是100元,如果要做DIY,會依不同作品計價，選好之後付費，會給兩個相連的夾子，也會廣播提醒製作的時間。製作作品的機器是真的之前店家用在製作襪子，工作人員說明的清楚，也有影片輔佐，孩子操作起來覺得很有趣，即便是國小中年級的孩子也可上手，當然父母從旁協助也是ok的。
整個工廠其實不大，但展場乾淨、明亮，動線規劃也不錯，還可以看到製作襪子的機器，也有在運轉當中。展場內有各種不同功能、樣式的襪子，價位也不同，訪客可以挑選到自己喜歡的。在炎炎夏日的時候，推薦帶孩子來走走。"
chingyi-personal Huang,3 週前,5,很好買😁
鄧禮豪,3 週前,5,非常好的襪子製作體驗，很有趣喔😆 …
Cherng Kuei,3 週前,4,
鄭芳青,3 週前,4,有詳盡介紹襪子和生產機器的演進史，也有多元化的產品和DIY課程，寓教於樂，蠻值得參觀的！
liao antony,3 週前,5,好玩的地方，有趣的體驗，遛小孩的好地方
Mandy,3 週前,5,
范嘉君,3 週前,5,門票抵消費不錯唷
Connie Wang,3 週前,5,單價感覺雖然稍微高點，但他們家的襪子真的很耐穿，所以CP值非常高。還可以體驗，非常有趣的地方，很適合小孩子。
林芳如,3 週前,5,襪子好好穿
Yushan Wang,4 週前,5,DIY很有趣！
LF Tseng,4 週前,5,吳福洋襪子館DIY超有趣！
揚Yang,4 週前,5,服務人員親切
賴小天,1 個月前,5,今天來的吳福洋襪子故事館，了解襪子對身體的重要性之外，也知道了襪子的歷史故事，吸收資訊之外，也能買到對自己身體健康的商品，值回票價❤️❤️
Hsieh mandy,1 個月前,5,體驗好有趣，小孩很喜歡，已經來2次了😄 …
黃玉真,1 個月前,5,襪子好好穿
柯欣瑜,1 個月前,5,
陳威年,1 個月前,5,DIY有趣
洪騰嶽,1 個月前,5,好逛 好玩
Teresa Huang,1 個月前,5,神奇的除臭襪體驗！講解非常親切詳細
宋孟娟,1 個月前,5,Diy體驗很有趣，有也很適合小小孩參與！！
JIM CHEN,1 個月前,5,DIY好玩喔
Apple Yang,1 個月前,5,DIY好玩 小孩很開心
劉奕甫,1 個月前,4,簡單明瞭、整齊舒適小觀光工廠，票價折抵消費，假日走走不錯；支持台灣品牌老字號！
黃志銘,1 個月前,4,
John Lin,1 個月前,5,原來16世紀的歐洲男生，是最早穿絲襪啊～
Hsueh Raco,1 個月前,5,服務人員很親切哦
詹淑雯,1 個月前,5,讚
黃麗華,1 個月前,5,服務很好
周麗雲,1 個月前,5,好穿舒適
陳美玲,1 個月前,5,材質佳，品項齊全
士商廣設222,1 個月前,5,有趣
筱核能,1 個月前,5,好玩
Y I,1 個月前,5,襪子都很特別～
陳嬋悠,1 個月前,5,很可愛
茶葉蛋,1 個月前,2,"該怎麼說呢？
入內參觀需付$100
雖然可以抵商品消費
我們還是必需再掏錢出來買商品，為了消化門票金額….
店家牆上說谷歌評論會送禮物🎁， 結帳人員說要實際結帳金額額滿$200（我今天的消費是399，扣掉門票$200所以沒有贈品）
店家牆上說加賴有小贈品，我加賴了，結帳小姐又說沒有贈品…..
我不是因為沒有拿到贈品給2顆星
我只是想表達
店家做不到的，不要畫大餅
如果活動已成結束
請下架您的廣告
襪子姊姊很可愛，解說詳細充滿活力，熱情洋溢，這是我今天唯一覺得不錯的地方"
Giles Hung (Giles),1 個月前,4,
Chou,1 個月前,5,RUNNING 的指無痕襪子很好穿
"Sylvie & Eugenie, 璽羽 &韻竹",1 個月前,5,體驗手搖襪diy製作娃娃很好玩！
徐鳳園,1 個月前,5,襪子的歷史非常清楚
林小苹,1 個月前,5,
鄭權陳,1 個月前,5,好玩
Jupiter Lin,1 個月前,5,孩子消磨時間的好地方
sean,1 個月前,5,門票抵消費，免費停車，襪子好穿，很棒👍。
Sherry Hu,1 個月前,3,
凃姵丞（姵丞）,1 個月前,5,DIY 體驗很有趣😊
Camille (羊羊),1 個月前,5,超級好玩
李秋燕（Candy）,1 個月前,5,DIY好好玩🥰 …
酷企鵝-函芸爸爸,1 個月前,5,遛小孩的好地方
陳益宏,1 個月前,5,親切的光觀的工廠。
jennifer lee,1 個月前,5,很有教育性、活動有趣
丁怡君,1 個月前,5,很寓教於樂，很棒👍 …
劉于萱,1 個月前,5,襪子好好穿 DIY體驗很有趣
