setTime,star,content,ckip_result,seg_result
1 週前,5,工作人員服務親切環境整潔,['工作(Na) 人員(Na) 服務(VC) 親切(VH) 環境(Na) 整潔(VH)'],工作 人員 服務 親切 環境 整潔
1 週前,5,讚,[''],
1 週前,5,假日帶小朋友可晃晃有美麗城堡 附近有沄水溫泉,['假日(Nd) 小朋友(Na) 晃晃(VA) 美麗(VH) 城堡(Na) 附近(Nc) 沄水(Na) 溫泉(Na)'],假日 小朋友 晃晃 美麗 城堡 附近 沄水 溫泉
2 週前,2,,,
3 週前,4,"這裡適合小做休憩ㄧ下建築物蠻特別的喜歡拍照的帥哥美女路過ㄧ定要進來的喔

上頭也有ㄧ點點小步道可以走有個小涼亭可以稍坐休息

這裡拍出來的照片很可愛多元謝謝辛苦的打掃人員
維持優良的環境",['這裡(Ncd) 適合(VH) 小做(VH) 休憩(VA) 建築物(Na) 特別(VH) 喜歡(VK) 拍照(VB) 帥哥(Na) 美女(Na) 路過(VCL) 進來(VA) 上頭(Ncd) ㄧ點點(Neqa) 步道(Na) 涼亭(Na) 休息(VA) 這裡(Ncd) 拍出來(VC) 照片(Na) 可愛(VH) 多元(VH) 謝謝(VJ) 辛苦(VHC) 打掃(Nv) 人員(Na) 維持(VJ) 優良(VH) 環境(Na)'],這裡 適合 小做 休憩 建築物 特別 喜歡 拍照 帥哥 美女 路過 進來 上頭 ㄧ點點 步道 涼亭 休息 這裡 拍出來 照片 可愛 多元 謝謝 辛苦 打掃 人員 維持 優良 環境
3 週前,5,服務人員態度親切有免費飲水機及廁所可短暫休息,['服務(VC) 人員(Na) 態度(Na) 親切(VH) 免費(VH) 飲水機(Na) 廁所(Nc) 短暫(VH) 休息(VA)'],服務 人員 態度 親切 免費 飲水機 廁所 短暫 休息
4 週前,5,風景區拍照景點,['風景區(Nc) 拍照(VB) 景點(Na)'],風景區 拍照 景點
4 週前,4,,,
4 週前,4,,,
1 個月前,3,,,
1 個月前,4,,,
1 個月前,3,,,
