setTime,star,content,ckip_result,seg_result
14 小時前,3,,,
15 小時前,4,香火鼎盛,['香火(Na) 鼎盛(VH)'],香火 鼎盛
1 天前,5,建築細緻精美值得一觀,['建築(Na) 細緻(VH) 精美(VH) 值得(VH)'],建築 細緻 精美 值得
3 天前,5,很棒的廟宇,['廟宇(Na)'],廟宇
1 週前,5,,,
1 週前,4,,,
1 週前,4,歲月掩不住古蹟神韻廟宇藏不盡鬼斧神工,['歲月(Na) 掩不住(VJ) 古蹟(Na) 神韻(Na) 廟宇(Na) 鬼斧神工(Na)'],歲月 掩不住 古蹟 神韻 廟宇 鬼斧神工
1 週前,5,傳統文化要好好保存,['傳統(VH) 文化(Na) 好好(VH) 保存(VC)'],傳統 文化 好好 保存
1 週前,5,"來過3次
一間國小畢旅首次來過
算不錯又古色古香
又非常有歷史的傳統老廟

有時間再來詳細評價",['來過(VC) 國小(Nc) 畢旅(Na) 來過(VC) 不錯(VH) 古色古香(VH) 歷史(Na) 傳統(VH) 時間(Na) 詳細(VH) 評價(VC)'],來過 國小 畢旅 來過 不錯 古色古香 歷史 傳統 時間 詳細 評價
1 週前,3,,,
1 週前,4,,,
2 週前,4,,,
2 週前,5,,,
2 週前,4,在地的信仰中心查看歷史若有一個地方出現廟宇代表該地已聚集許多居民形成聚落從建廟的時間可推測該聚落形成的時間,['信仰(Na) 中心(Nc) 查看(VE) 歷史(Na) 地方(Na) 出現(VH) 廟宇(Na) 代表(VK) 聚集(VAC) 許多(Neqa) 居民(Na) 形成(VG) 聚落(Na) 時間(Na) 推測(VE) 聚落(Na) 形成(VG) 時間(Na)'],信仰 中心 查看 歷史 地方 出現 廟宇 代表 聚集 許多 居民 形成 聚落 時間 推測 聚落 形成 時間
3 週前,4,很漂亮的廟 ,['漂亮(VH)'],漂亮
3 週前,4,雕刻精細莊嚴肅穆,['雕刻(Na) 精細(VH) 莊嚴(VH) 肅穆(VH)'],雕刻 精細 莊嚴 肅穆
3 週前,5,,,
3 週前,5,12年沒來了 ,['12(Neu)'],12
3 週前,4,歷史傳統的著名廟宇,['歷史(Na) 傳統(Na) 著名(VH) 廟宇(Na)'],歷史 傳統 著名 廟宇
3 週前,3,非常美麗壯觀的文化資產希望新北市政府及廟方能積極維護畢竟歷經歷了300多年風雨許多木雕彩漆交趾陶都已風化掉落必須加緊維修才能將一代大師作品傳遞後後人欣賞,['美麗(VH) 壯觀(VH) 文化(Na) 資產(Na) 希望(VK) 新北市政府(Nc) 廟方(Na) 積極(VH) 維護(VC) 歷經(VJ) 300多(Neu) 風雨(Na) 許多(Neqa) 木雕(Na) 彩漆(Na) 交趾陶(Na) 風化(VHC) 掉落(VCL) 加緊(VC) 維修(VC) 大師(Na) 作品(Na) 傳遞(VD) 後人(Na) 欣賞(VJ)'],美麗 壯觀 文化 資產 希望 新北市政府 廟方 積極 維護 歷經 300多 風雨 許多 木雕 彩漆 交趾陶 風化 掉落 加緊 維修 大師 作品 傳遞 後人 欣賞
3 週前,5,歷史上的寺廟,['歷史(Na) 寺廟(Na)'],歷史 寺廟
4 週前,5,祖師廟為民眾的信仰中心  亦以精雕細琢雕梁畫棟聞名,['祖師廟(Nc) 民眾(Na) 信仰(Na) 中心(Nc) 精雕細琢(VH) 雕梁(Na) 畫棟(Na) 聞名(VI)'],祖師廟 民眾 信仰 中心 精雕細琢 雕梁 畫棟 聞名
4 週前,4,不管外面老街多麼熱鬧一進祖師廟一切喧囂頓時止步都變得安靜了起來,['外面(Ncd) 老街(Nc) 熱鬧(VH) 祖師廟(Nc) 一切(Neqa) 喧囂(VA) 止步(VA) 安靜(VH)'],外面 老街 熱鬧 祖師廟 一切 喧囂 止步 安靜
1 個月前,5,,,
1 個月前,5,,,
1 個月前,3,石雕柱可以花點時間看,['石雕柱(Na) 時間(Na)'],石雕柱 時間
1 個月前,5,"古色古香的木雕與石雕
精湛的雕刻技藝
長福巖三峽清水祖師廟
值得您來體驗傳統雕刻之美",['古色古香(VH) 木雕(Na) 石雕(Na) 精湛(VH) 雕刻(Na) 技藝(Na) 長福巖(Nc) 三峽(Nc) 清水(Nc) 祖師(Nc) 值得(VH) 體驗(VC) 傳統(VH) 雕刻(Na)'],古色古香 木雕 石雕 精湛 雕刻 技藝 長福巖 三峽 清水 祖師 值得 體驗 傳統 雕刻
1 個月前,5,莊嚴,['莊嚴(VH)'],莊嚴
