setTime,star,content,ckip_result,seg_result
15 分鐘前,5,好的,[''],
2 小時前,5,,,
7 小時前,5,,,
8 小時前,5,,,
13 小時前,3,老街的距離太短營業的店家種類缺乏獨特素材僅如一般的市場商店街一般,['老街(Nc) 距離(Na) 營業(VA) 店家(Na) 種類(Na) 缺乏(VJ) 獨特(VH) 素材(Na) 市場(Nc) 商店街(Nc)'],老街 距離 營業 店家 種類 缺乏 獨特 素材 市場 商店街
14 小時前,5,,,
23 小時前,5,,,
1 天前,4,,,
1 天前,5,,,
1 天前,5,,,
1 天前,4,疫情過後店家變少了很傳統的老街久久來吃一次金牛角,['疫情(Na) 過後(Ng) 店家(Na) 傳統(VH) 老街(Nc) 金牛角(Na)'],疫情 過後 店家 傳統 老街 金牛角
1 天前,5,短短的好吃好逛離開老街區也有很多美食,['短短(VH) 好吃(VH) 離開(VC) 街區(Na) 很多(Neqa) 美食(Na)'],短短 好吃 離開 街區 很多 美食
1 天前,3,,,
1 天前,3,,,
1 天前,1,,,
1 天前,4,,,
2 天前,5,"老街可以逛還有祖師爺廟橋樑可以走
算是不錯的假日去處",['老街(Nc) 祖師爺廟(Na) 橋樑(Na) 算是(VG) 不錯(VH) 假日(Nd) 去處(Nc)'],老街 祖師爺廟 橋樑 算是 不錯 假日 去處
2 天前,5,,,
2 天前,4,,,
2 天前,5,"素食好選擇色香味全俱
黑糖薑汁豆花尤美味",['素食(Na) 選擇(VC) 香味(Na) 全俱(Neqa) 薑汁(Na) 豆花(Na) 美味(VH)'],素食 選擇 香味 全俱 薑汁 豆花 美味
2 天前,5,老街建物維護得很完整老街兩側的商店不少且大部分都有營業假日很熱鬧,['老街(Nc) 建物(Na) 維護(VC) 完整(VH) 老街(Nc) 商店(Nc) 不少(VH) 大部分(Neqa) 營業(VA) 假日(Nd) 熱鬧(VH)'],老街 建物 維護 完整 老街 商店 不少 大部分 營業 假日 熱鬧
2 天前,5,,,
2 天前,4,各式小吃應有儘有,['小吃(Na)'],小吃
2 天前,3,,,
2 天前,5,超多的在地名產 及特色小吃,['超多(VH) 名產(Na) 特色(Na) 小吃(Na)'],超多 名產 特色 小吃
2 天前,4,,,
2 天前,4,,,
2 天前,5,,,
2 天前,5,,,
2 天前,4,,,
2 天前,5,好走好逛好吃,[''],
2 天前,4,平日前往人少好逛牛角麵包真的好吃每次到老街必買 ,['平日(Nd) 前往(VCL) 牛角(Na) 麵包(Na) 好吃(VH) 老街(Nc)'],平日 前往 牛角 麵包 好吃 老街
2 天前,4,,,
