setTime,star,content,ckip_result,seg_result
2 天前,5,很大的禪寺目前不開放參觀,['禪寺(Nc) 目前(Nd) 開放(VC) 參觀(VC)'],禪寺 目前 開放 參觀
4 天前,5,,,
4 天前,4,嗯....現在疫情禁令幾乎都解除了是不是可以換一下開放狀態,['現在(Nd) 疫情(Na) 禁令(Na) 解除(VC) 一下(Nd) 開放(Nv) 狀態(Na)'],現在 疫情 禁令 解除 一下 開放 狀態
5 天前,5,,,
1 週前,3,如此莊嚴肅穆之地 居然封閉如此之久誠心希望快開放很多身邊的長輩這輩子很想再去一次,['莊嚴(VH) 肅穆(VH) 封閉(VH) 如此(VH) 誠心(VH) 希望(Na) 開放(VC) 很多(Neqa) 身邊(Nc) 長輩(Na) 輩子(Na)'],莊嚴 肅穆 封閉 如此 誠心 希望 開放 很多 身邊 長輩 輩子
1 週前,3,因疫情尚未開放大家別白跑一趟可以上官網看一下最新消息,['疫情(Na) 開放(VC) 官網(Na) 一下(Nd) 消息(Na)'],疫情 開放 官網 一下 消息
1 週前,3,,,
2 週前,5,"又稱中台山 為目前台灣最大最高的佛教寺廟
內有海量的佛教文化藝術品供信眾免費觀看

20150118 1ST",['中台山(Nc) 目前(Nd) 台灣(Nc) 寺廟(Na) 海量(Na) 文化(Na) 藝術品(Na) 信眾(Na) 免費(VH) 觀看(VC)'],中台山 目前 台灣 寺廟 海量 文化 藝術品 信眾 免費 觀看
2 週前,5,"我前段時間去過
這是一個非常放鬆的地方
大佛像堪稱傑作
素食餐廳也很美味",['時間(Na) 放鬆(VHC) 地方(Na) 大佛(Na) 堪稱(VG) 傑作(Na) 素食(Na) 餐廳(Nc) 美味(VH)'],時間 放鬆 地方 大佛 堪稱 傑作 素食 餐廳 美味
2 週前,4,"佛教聖地莊嚴又殊勝的地方...

請常念南無阿彌陀佛...",['聖地(Nc) 莊嚴(VH) 殊勝(VH) 地方(Na) 南無(VJ)'],聖地 莊嚴 殊勝 地方 南無
2 週前,5,,,
2 週前,5,,,
3 週前,5,中台禪寺一定要來走走享受一下平靜,['禪寺(Nc) 走走(VA) 享受(VJ) 一下(Nd) 平靜(VH)'],禪寺 走走 享受 一下 平靜
4 週前,5,,,
1 個月前,5,,,
1 個月前,1,還不開放參觀到底要怕到什麼時候,['開放(VC) 參觀(VC) 時候(Na)'],開放 參觀 時候
2 個月前,1,關閉永遠,['關閉(VC)'],關閉
2 個月前,4,真是可惜特意前去但目前仍禁止參觀只能遠觀....,['可惜(VH) 前去(VCL) 目前(Nd) 禁止(VE) 參觀(VC) 遠觀(VC)'],可惜 前去 目前 禁止 參觀 遠觀
